CustomerID,Recency,Frequency,AdjMonetary,HadCancellation,HadDiscounts,HadManual,IsMultiCountry,Country,Cluster,Clusterlabel
12346,326,1,0.0,1,0,0,0,United Kingdom,3,At-Risk
12347,2,7,4310.0,0,0,0,0,Iceland,1,VIP Customer
12348,75,4,1797.24,0,0,0,0,Finland,0,Stable but Passive
12349,19,1,1757.55,0,0,0,0,Italy,2,Occasional but Reachable
12350,310,1,334.4,0,0,0,0,Norway,3,At-Risk
12352,36,7,1545.41,7,0,6,0,Norway,0,Stable but Passive
12353,204,1,89.0,0,0,0,0,Bahrain,3,At-Risk
12354,232,1,1079.4,0,0,0,0,Spain,3,At-Risk
12355,214,1,459.4,0,0,0,0,Bahrain,3,At-Risk
12356,23,3,2811.43,0,0,0,0,Portugal,0,Stable but Passive
12357,33,1,6207.67,0,0,0,0,Switzerland,0,Stable but Passive
12358,2,2,1168.06,0,0,0,0,Austria,2,Occasional but Reachable
12359,58,4,6182.98,6,0,0,0,Cyprus,0,Stable but Passive
12360,52,3,2662.06,0,0,0,0,Austria,0,Stable but Passive
12361,287,1,189.9,0,0,0,0,Belgium,3,At-Risk
12362,3,10,5154.58,8,0,0,0,Belgium,1,VIP Customer
12363,110,2,552.0,0,0,0,0,Unspecified,3,At-Risk
12364,8,4,1313.1,0,0,0,0,Belgium,2,Occasional but Reachable
12365,291,1,320.69,0,0,2,0,Cyprus,3,At-Risk
12367,4,1,168.9,0,0,0,0,Denmark,2,Occasional but Reachable
12370,51,4,3541.94,0,0,0,1,Cyprus,0,Stable but Passive
12371,45,2,1887.96,0,0,0,0,Switzerland,0,Stable but Passive
12372,72,3,1298.04,0,0,0,0,Denmark,0,Stable but Passive
12373,311,1,364.6,0,0,0,0,Austria,3,At-Risk
12374,25,1,742.9300000000001,0,0,0,0,Austria,2,Occasional but Reachable
12375,11,2,455.42,1,0,0,0,Finland,2,Occasional but Reachable
12377,315,2,1628.12,0,0,0,0,Switzerland,0,Stable but Passive
12378,130,1,4008.62,0,0,0,0,Switzerland,0,Stable but Passive
12379,82,2,850.29,1,0,0,0,Belgium,0,Stable but Passive
12380,22,4,2720.56,1,0,0,0,Belgium,0,Stable but Passive
12381,5,5,1803.96,4,0,0,0,Norway,1,VIP Customer
12383,185,5,1839.31,1,0,0,0,Belgium,0,Stable but Passive
12384,29,2,566.16,3,0,0,0,Switzerland,2,Occasional but Reachable
12386,338,2,401.9,0,0,0,0,Australia,3,At-Risk
12388,16,6,2780.66,0,0,0,0,Australia,1,VIP Customer
12390,80,1,549.84,0,0,0,0,Belgium,3,At-Risk
12391,22,1,439.66,0,0,0,0,Cyprus,2,Occasional but Reachable
12393,72,4,1582.6000000000001,0,0,0,0,Australia,0,Stable but Passive
12394,64,2,1272.48,0,0,0,1,Belgium,0,Stable but Passive
12395,19,12,2998.28,3,0,0,0,Belgium,1,VIP Customer
12397,36,2,2409.9,0,0,0,0,Belgium,0,Stable but Passive
12398,46,1,1635.6599999999999,0,0,0,0,Switzerland,0,Stable but Passive
12399,119,4,1108.65,0,0,0,0,Belgium,0,Stable but Passive
12401,303,1,84.3,0,0,0,0,Belgium,3,At-Risk
12402,323,1,225.6,0,0,0,0,Belgium,3,At-Risk
12403,50,1,409.7,1,0,0,0,Denmark,3,At-Risk
12405,149,1,1710.39,0,0,0,0,Finland,0,Stable but Passive
12406,22,2,3280.75,3,0,0,0,Denmark,0,Stable but Passive
12407,50,5,1708.1200000000001,0,0,0,0,Belgium,0,Stable but Passive
12408,33,5,2842.57,8,0,0,0,Belgium,0,Stable but Passive
12409,79,3,11056.93,5,0,0,0,Switzerland,0,Stable but Passive
12410,309,2,681.0799999999999,2,0,0,0,Switzerland,3,At-Risk
12412,75,3,1226.88,0,0,0,0,Denmark,0,Stable but Passive
12413,67,3,694.15,2,0,0,0,France,0,Stable but Passive
12414,217,3,562.41,0,0,0,0,Austria,3,At-Risk
12415,24,21,123725.45,62,0,0,0,Australia,1,VIP Customer
12417,3,9,3578.7999999999997,6,0,0,1,Belgium,1,VIP Customer
12418,113,1,668.58,0,0,0,0,Switzerland,3,At-Risk
12420,64,1,600.39,0,0,0,0,Cyprus,3,At-Risk
12421,16,4,806.27,0,0,1,0,Spain,2,Occasional but Reachable
12422,96,3,803.5600000000001,0,0,0,1,Australia,0,Stable but Passive
12423,1,8,1849.11,1,0,0,0,Belgium,1,VIP Customer
12424,163,2,1760.96,0,0,0,0,Australia,0,Stable but Passive
12425,78,1,777.2,0,0,0,0,Portugal,3,At-Risk
12426,195,1,582.73,0,0,0,0,Germany,3,At-Risk
12427,22,3,708.37,4,0,0,0,Germany,2,Occasional but Reachable
